ID Réponse,Date,Phase,Type de territoire,Arrondissement / Ville liée,Statut du commerce,Enjeux: Soutien financier?,Enjeux: Maintien des opérations?,Enjeux: Fiscalité (taxes et impôts)?,Enjeux: Ressources humaines?,Enjeux: Réglementation?,Enjeux: Marketing?,Enjeux: Santé et sécurité?,Enjeux: Recherche d'équipement sanitaire?,Enjeux: Aménagement de l'espace?,Enjeux: Permis pour les terrasses extérieures?,Enjeux: Autre?,Intérêt pour le programme d'aide d'urgence?,Présence sur les médias sociaux?,Présence sur Facebook?,Présence sur Twitter?,Présence sur Instagram?,Présence sur LinkedIn?,Faites-vous de la vente en ligne?,Canal de vente en ligne,Connaissez-vous le service de livraison urbaine?,Êtes-vous intéressé par le service de livraison urbaine?,Intérêt pour le programme d'accompagnement pour le virage numérique des entreprises?,Offrez-vous un service de livraison?,Êtes-vous satisfait de votre service de livraison actuel?,Seriez-vous intéressé par le service de livraison urbain (à vélo) mise en place par la Ville de Montréal et ses partenaires si vous si aviez accès?,Est-ce que l'information que nous vous avons donnée vous a été utile?
87,2020-05-14,1,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Partiellement ouvert,,,,,,,,,,,,Non,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
88,2020-05-14,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Non,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
89,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
90,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
91,2020-05-14,1,Arrondissement,Outremont,Partiellement ouvert,,,,,,,,,,,Oui,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
92,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Oui,Je l'utilise déjà,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
93,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
94,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,Oui,,,,,,Oui,,Oui,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Oui,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
95,2020-05-14,1,Arrondissement,Outremont,Ouvert,,,,,,,,Oui,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Non,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
96,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
97,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Oui,"Système maison, disponible avant la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
98,2020-05-14,1,Arrondissement,Rosemont-La Petite-Patrie,Fermé,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
99,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Statut inconnu,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
100,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
101,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
102,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
103,2020-05-14,1,Arrondissement,Ahuntsic-Cartierville,Fermé,Oui,,,,,,,,,,,Oui,Oui,,,,,Non,Pas de vente en ligne,Non,Non,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
104,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,Oui,,,,,,,,,,Non,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
105,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,,,,,,,Oui,Oui,Oui,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
106,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,Oui,,,,Oui,,,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
107,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
108,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Non,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
109,2020-05-14,1,Arrondissement,Ahuntsic-Cartierville,Partiellement ouvert,Oui,,,,,,,,Oui,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
110,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
111,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
112,2020-05-14,1,Arrondissement,Ahuntsic-Cartierville,Ouvert,Oui,,,,,,,,,,,Non,Oui,Oui,,Oui,,Oui,Site transactionnel,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
113,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,,,,,,,Oui,,Oui,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
114,2020-05-14,1,Arrondissement,Ahuntsic-Cartierville,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
115,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,Oui,,,,,Oui,,,,,,Sans réponse,Sans réponse,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
116,2020-05-14,1,Arrondissement,Outremont,Partiellement ouvert,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
117,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,,,,,Oui,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
118,2020-05-14,1,Arrondissement,Rosemont-La Petite-Patrie,Fermé,,,,,Oui,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Oui,Je l'utilise déjà,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
119,2020-05-14,1,Arrondissement,Ahuntsic-Cartierville,Fermé,Oui,,,,,Oui,,Oui,Oui,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
120,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non applicable,Non applicable,Non,Oui,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
121,2020-05-14,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
122,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
123,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
124,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,,,,,,,,,,,Non,Oui,Oui,,Oui,,Oui,Site transactionnel,Oui,Je l'utilise déjà,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
125,2020-05-14,1,Arrondissement,Outremont,Ouvert,Oui,,,,,,Oui,Oui,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
126,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,Oui,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
127,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,,,,,,Non,Oui,Oui,,Oui,,Oui,"Système maison, disponible avant la crise",Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
128,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,Oui,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
129,2020-05-14,1,Arrondissement,Outremont,Ouvert,Oui,Oui,,,,,Oui,,,,Oui,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
130,2020-05-14,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,Oui,Oui,,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
131,2020-05-14,1,Arrondissement,Outremont,Ouvert,Oui,Oui,,,,,Oui,Oui,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
132,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
133,2020-05-14,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,Oui,,,,,,Oui,Oui,Oui,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
134,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,,,,,,,,,,,Non,Oui,Oui,Oui,Oui,,Oui,Site transactionnel,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
135,2020-05-14,1,Arrondissement,Ahuntsic-Cartierville,Statut inconnu,Oui,,,Oui,,,Oui,Oui,,,Oui,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
136,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,,,,,Oui,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
137,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
138,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,"Via un tiers (ex. : Amazon, Wayfair, Uber Eats, etc.)",Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
139,2020-05-14,1,Arrondissement,Ahuntsic-Cartierville,Ouvert,,,,,Oui,,,,Oui,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
140,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,Oui,,Oui,,,Non,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
141,2020-05-14,1,Arrondissement,Le Sud-Ouest,Partiellement ouvert,,Oui,,,,Oui,Oui,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Oui,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
142,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,,,,,Oui,Oui,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
143,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,Oui,,Oui,,Oui,,,,,Oui,Oui,Oui,Oui,,,,Non applicable,Non applicable,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
144,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,Oui,,,,Oui,,,,,,Non,Sans réponse,,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
145,2020-05-15,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
146,2020-05-15,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,Oui,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
147,2020-05-15,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,Oui,,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
148,2020-05-15,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
149,2020-05-15,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,Oui,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Oui,Je l'utilise déjà,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
150,2020-05-15,1,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Partiellement ouvert,,,,,,,,,,,,Non,Oui,Oui,,,,Réponse inconnue,Réponse inconnue,Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
151,2020-05-15,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,Oui,,,Oui,Oui,Oui,,Oui,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
152,2020-05-15,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,,,,Oui,,Oui,,,,Oui,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
153,2020-05-15,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
154,2020-05-15,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
155,2020-05-15,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,Oui,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non applicable,Non applicable,Non applicable,Non applicable,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
156,2020-05-15,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,Oui,,,,,Sans réponse,Oui,Oui,,,,Oui,"Via un tiers (ex. : Amazon, Wayfair, Uber Eats, etc.)",Oui,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
